# Optimization Method: GradientDescent
# Date: 2026-04-14 17:23:02
# Mesh: nx=20, num_dofs=441
# Noise level: 0.05
# Total observations: 200
# Prior params: theta=0.100, ax=0.500
# Elapsed time: 309.6113 seconds
#
# iter	loss	rel_change	error_L2	error_max	grad_norm	phase
#----------------------------------------------------------------------------------------------------
     1	4.13026544e+03	nan	1.18814595e+00	1.11384161e+00	1.02066734e+05	GradDesc
     2	5.19507756e+02	8.742193e-01	6.97989959e-01	7.40602651e-01	5.26704276e+04	GradDesc
     3	4.56787567e+02	1.207300e-01	6.10836562e-01	6.96722949e-01	5.66181061e+04	GradDesc
     4	2.62024444e+02	4.263757e-01	5.69399907e-01	6.85425028e-01	1.35088337e+04	GradDesc
     5	1.78617001e+02	3.183193e-01	3.90259790e-01	5.56610525e-01	1.69365665e+04	GradDesc
     6	1.70489558e+02	4.550207e-02	3.84469030e-01	5.58234388e-01	1.34966717e+04	GradDesc
     7	1.61322571e+02	5.376861e-02	3.72070257e-01	5.53551333e-01	1.37590408e+04	GradDesc
     8	1.58298124e+02	1.874782e-02	3.67571774e-01	5.51683731e-01	1.08148573e+04	GradDesc
     9	1.53473404e+02	3.047870e-02	3.57108478e-01	5.45698226e-01	1.26056693e+04	GradDesc
    10	1.52423038e+02	6.843961e-03	3.53325426e-01	5.43085116e-01	1.03892846e+04	GradDesc
    11	1.50028534e+02	1.570959e-02	3.43955636e-01	5.36575805e-01	1.40473991e+04	GradDesc
    12	1.42361059e+02	5.110678e-02	3.41858826e-01	5.35540595e-01	4.04093308e+03	GradDesc
    13	1.36889881e+02	3.843170e-02	2.73588668e-01	4.42740686e-01	1.73684298e+04	GradDesc
    14	1.25376978e+02	8.410339e-02	2.72253025e-01	4.45556641e-01	4.49707622e+03	GradDesc
    15	1.24210960e+02	9.300095e-03	2.71830458e-01	4.44812108e-01	2.71705233e+03	GradDesc
    16	1.24013102e+02	1.592924e-03	2.70302348e-01	4.43634280e-01	3.81590398e+03	GradDesc
    17	1.23351937e+02	5.331410e-03	2.69676899e-01	4.41660087e-01	3.05474747e+03	GradDesc
    18	1.22810032e+02	4.393159e-03	2.68753434e-01	4.40802496e-01	2.01488884e+03	GradDesc
    19	1.22502166e+02	2.506849e-03	2.67417464e-01	4.37472836e-01	2.56037047e+03	GradDesc
    20	1.22036350e+02	3.802515e-03	2.66522204e-01	4.36383475e-01	1.61718775e+03	GradDesc
    21	1.21645070e+02	3.206262e-03	2.65241881e-01	4.33101166e-01	1.70585605e+03	GradDesc
    22	1.21472335e+02	1.419984e-03	2.63737132e-01	4.30422362e-01	1.69334835e+03	GradDesc
    23	1.21460725e+02	9.558018e-05	2.63040840e-01	4.27027059e-01	2.90702598e+03	GradDesc
