# Optimization Method: NewtonCG+GradDescent
# Date: 2026-04-14 11:28:53
# Mesh: nx=20, num_dofs=441
# Noise level: 0.05
# Total observations: 200
# Prior params: theta=0.100, ax=0.500
# Elapsed time: 838.8060 seconds
#
# iter	loss	rel_change	error_L2	error_max	grad_norm	phase
#----------------------------------------------------------------------------------------------------
     1	4.13026544e+03	nan	1.18814595e+00	1.11384161e+00	1.02066734e+05	Phase1_GradDesc
     2	5.19507756e+02	8.742193e-01	6.97989959e-01	7.40602651e-01	5.26704276e+04	Phase1_GradDesc
     3	4.56787555e+02	1.207301e-01	6.10836559e-01	6.96722949e-01	5.66181045e+04	Phase1_GradDesc
     4	2.62024442e+02	4.263757e-01	5.69399905e-01	6.85425028e-01	1.35088332e+04	Phase1_GradDesc
     5	1.78616933e+02	3.183196e-01	3.90259785e-01	5.56610516e-01	1.69362658e+04	Phase1_GradDesc
     6	1.70489424e+02	4.550246e-02	3.84468992e-01	5.58234358e-01	1.35076807e+04	Phase1_GradDesc
     7	1.61318307e+02	5.379288e-02	3.72069876e-01	5.53551591e-01	1.37567276e+04	Phase1_GradDesc
     8	1.58290820e+02	1.876716e-02	3.67569606e-01	5.51682619e-01	1.08083656e+04	Phase1_GradDesc
     9	1.53470787e+02	3.045049e-02	3.57108718e-01	5.45697528e-01	1.24188643e+04	Phase1_GradDesc
    10	1.51749111e+02	1.121827e-02	3.53068183e-01	5.42948467e-01	1.01566532e+04	Phase1_GradDesc
    11	1.48971194e+02	1.830598e-02	3.43862434e-01	5.36572494e-01	1.28890312e+04	Phase1_GradDesc
    12	1.42236473e+02	4.520821e-02	3.41644809e-01	5.35350335e-01	4.07000281e+03	Phase1_GradDesc
    13	1.25841427e+02	1.152661e-01	2.70964896e-01	4.41477367e-01	3.97238884e+03	Phase1_GradDesc
    14	1.24187932e+02	1.313951e-02	2.70937788e-01	4.43860832e-01	2.86387375e+03	Phase1_GradDesc
    15	1.23413580e+02	6.235321e-03	2.70063978e-01	4.42365000e-01	2.12001135e+03	Phase1_GradDesc
    16	1.22941295e+02	3.826849e-03	2.68339153e-01	4.40230094e-01	1.92629526e+03	Phase1_GradDesc
    17	1.22584107e+02	2.905357e-03	2.67069098e-01	4.37181193e-01	2.51772447e+03	Phase1_GradDesc
    18	1.22119953e+02	3.786413e-03	2.66227197e-01	4.36167412e-01	1.55162255e+03	Phase1_GradDesc
    19	1.21675029e+02	3.643333e-03	2.63781310e-01	4.30098116e-01	2.48969454e+03	Phase1_GradDesc
    20	1.21254925e+02	3.452671e-03	2.63005942e-01	4.29021840e-01	1.31378688e+03	Phase1_GradDesc
    21	1.20928272e+02	2.693936e-03	2.62048878e-01	4.25936769e-01	1.40440422e+03	Phase1_GradDesc
    22	1.20775529e+02	1.263087e-03	2.60826412e-01	4.23359875e-01	1.27420698e+03	Phase1_GradDesc
    23	1.20557576e+02	1.804613e-03	2.60219691e-01	4.20348231e-01	1.52935037e+03	Phase1_GradDesc
    24	1.20324628e+02	1.932251e-03	2.59648911e-01	4.19237464e-01	1.00402551e+03	Phase1_GradDesc
    25	1.19773416e+02	4.581044e-03	2.53906393e-01	3.77132219e-01	4.34570655e+03	Phase1_GradDesc
    26	1.19157833e+02	5.139563e-03	2.53036107e-01	3.76831291e-01	2.47407407e+03	Phase1_GradDesc
    27	1.18694989e+02	3.884292e-03	2.53675003e-01	3.75771724e-01	1.08703419e+03	Phase1_GradDesc
    28	1.18568452e+02	1.066073e-03	2.53392455e-01	3.75310592e-01	4.65039791e+02	Phase1_GradDesc
    29	1.18480301e+02	7.434590e-04	2.52855012e-01	3.70281541e-01	5.91099142e+02	Phase1_GradDesc
    51	1.18432909e+02	3.999952e-04	2.52817160e-01	3.69409448e-01	7.29159791e+02	Phase2_NewtonCG
